[pagerank] reading airports from data/airports.txt
[pagerank] read 5740 aiports with IATA code
[pagerank] reading routes from data/routes.txt
[pagerank] read 68292 routes with IATA codes
[pagerank] computing pagerank
[pagerank] printing pagerank results: (pagerank, airport name)
(0.000594085437302085 : Princess Juliana Intl, Netherlands Antilles)
(0.0005892466897718667 : Sacramento Intl, United States)
(0.0005857255290519168 : Halifax Intl, Canada)
(0.000581852292536714 : Reykjavik, Iceland)
(0.0005740771182030897 : Bilbao, Spain)
(0.0005735121651641512 : Lusaka Intl, Zambia)
(0.00057317624100711 : Chinggis Khaan Intl, Mongolia)
(0.0005729133069465244 : King Salmon, United States)
(0.0005703250939938479 : Adnan Menderes, Turkey)
(0.000566442912341879 : Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire)
(0.0005647098668511838 : Luxembourg, Luxembourg)
(0.0005646994597421715 : Wenzhou Yongqiang Airport, China)
(0.0005623989111993303 : Indianapolis Intl, United States)
(0.0005609068564586458 : Penang Intl, Malaysia)
(0.0005512353243252626 : Luogang, China)
(0.0005508121779771906 : Port Columbus Intl, United States)
(0.0005495779835856438 : Novy, Russia)
(0.0005486070529446681 : Cochin, India)
(0.000547869548079089 : Thunder Bay, Canada)
(0.0005462518408824019 : Douala, Cameroon)
(0.0005457575683335234 : Vaernes, Norway)
(0.0005455268930564573 : Emelyanovo, Russia)
(0.0005429447770299368 : Pinto Martins Intl, Brazil)
(0.0005383908727855201 : Menara, Morocco)
(0.000537954081317341 : Goose Bay, Canada)
(0.0005367753813016545 : Southwest Florida Intl, United States)
(0.0005363125763995363 : Nausori Intl, Fiji)
(0.0005351136934905623 : Rarotonga Intl, Cook Islands)
(0.0005334211030685846 : Albuquerque International Sunport, United States)
(0.000529510419172559 : Sanaa Intl, Yemen)
(0.0005279542412307375 : Merignac, France)
(0.0005273344225864007 : Sir Seewoosagur Ramgoolam Intl, Mauritius)
(0.0005267044768477177 : Changchun, China)
(0.0005256284453091961 : Elmas, Italy)
(0.0005253983735667058 : Langnes, Norway)
(0.0005253157955015532 : Unalaska, United States)
(0.0005226362858731982 : Palermo, Italy)
(0.0005226177773516508 : Allama Iqbal Intl, Pakistan)
(0.0005201841997132842 : Santo Pekoa International Airport, Vanuatu)
(0.0005196186212250941 : Liverpool, United Kingdom)
(0.000518167510800812 : Townsville, Australia)
(0.0005178967355466673 : Reina Beatrix Intl, Aruba)
(0.0005164682984661768 : Minsk 2, Belarus)
(0.0005156821058858172 : Phoenix-Mesa Gateway, United States)
(0.0005144976344722813 : Inuvik Mike Zubko, Canada)
(0.0005141764337467122 : Sofia, Bulgaria)
(0.0005127090391402428 : Hato, Netherlands Antilles)
(0.0005104049595028194 : Viru Viru Intl, Bolivia)
(0.0005097355100398468 : Linate, Italy)
(0.0005097332852301903 : Nuuk, Greenland)
(0.0005082638787669689 : Alfonso Bonilla Aragon Intl, Colombia)
(0.0005081748275312924 : Yinchuan, China)
(0.0005011760372615141 : Eindhoven, Netherlands)
(0.0004996770661407059 : Dalaman, Turkey)
(0.0004977873613481177 : General Abelardo L Rodriguez Intl, Mexico)
(0.0004944199231482594 : Shijiazhuang Daguocun International Airport, China)
(0.0004910504331967191 : Lishe, China)
(0.0004890740297664269 : Burgas, Bulgaria)
(0.0004886424719705534 : Vilnius Intl, Lithuania)
(0.00048686043852337005 : Knevichi, Russia)
(0.0004830915955644718 : Tallinn, Estonia)
(0.0004825173326658069 : Tobias Bolanos International Airport, Costa Rica)
(0.00048184332605722834 : John Wayne Arpt Orange Co, United States)
(0.00048048191050651924 : Gold Coast, Australia)
(0.00047821983748610173 : Kuujjuaq, Canada)
(0.00047438520449626554 : Los Cabos Intl, Mexico)
(0.0004725676969456426 : Madeira, Portugal)
(0.0004720620228499315 : Imam Khomeini, Iran)
(0.00047169386790757033 : Tille, France)
(0.0004684154156852966 : Gimpo, South Korea)
(0.0004675593057276694 : Kaohsiung Intl, Taiwan)
(0.0004673253071397022 : Frankfurt Hahn, Germany)
(0.00046693414228876233 : Lokpriya Gopinath Bordoloi International Airport, India)
(0.0004651267010610627 : Bodo, Norway)
(0.00046352663341935936 : Dallas Love Fld, United States)
(0.00046239402742731306 : Mwalimu Julius K Nyerere Intl, Tanzania)
(0.0004612168994046917 : Niederrhein, Germany)
(0.000460042806130043 : Balice, Poland)
(0.000459656858065636 : Sola, Norway)
(0.0004584008187199768 : Ilulissat, Greenland)
(0.0004576153916564693 : Chiang Mai Intl, Thailand)
(0.0004569693144335587 : Borg El Arab Intl, Egypt)
(0.0004568769649348549 : Beijing Nanyuan Airport, China)
(0.0004555317695291109 : Male Intl, Maldives)
(0.0004542810123754534 : Guam Intl, Guam)
(0.0004514310786463775 : Kuching Intl, Malaysia)
(0.00045113947630700537 : Red Lake Airport, Canada)
(0.00045030987902755856 : Esfahan Shahid Beheshti Intl, Iran)
(0.00045009323018335457 : Laishan, China)
(0.00044967477286026044 : Kigali Intl, Rwanda)
(0.0004489532416333805 : Vityazevo, Russia)
(0.00044728394666520096 : Las Americas Intl, Dominican Republic)
(0.0004467300219083903 : Zhuliany Intl, Ukraine)
(0.0004432729189328799 : Yakutsk, Russia)
(0.00043878220080027823 : Myrtle Beach Intl, United States)
(0.00043754713125280386 : Ahmedabad, India)
(0.0004375401579335903 : Pafos Intl, Cyprus)
(0.00043693916930350867 : Xining Caojiabu Airport, China)
(0.0004355515002051198 : Cadjehoun, Benin)
(0.00043509208102221404 : Billings Logan International Airport, United States)
(0.00043502260357101573 : Sevilla, Spain)
(0.0004349610240613592 : Lijiang Airport, China)
(0.0004344542709125593 : Bari, Italy)
(0.0004337357674262061 : Santa Genoveva, Brazil)
(0.00043214475751962643 : Entebbe Intl, Uganda)
(0.0004309999829938153 : Hang Nadim, Indonesia)
(0.0004302441948719345 : Ciampino, Italy)
(0.00042917497417911617 : Ahwaz, Iran)
(0.00042757054437894985 : Sentani, Indonesia)
(0.00042371071372996965 : Eros Airport, Namibia)
(0.0004217165025213641 : Campo Dell Oro, France)
(0.0004199806594317118 : Sangster Intl, Jamaica)
(0.0004181727217755635 : Mount Isa, Australia)
(0.00041806772151537554 : Jersey, Jersey)
(0.000417936383056292 : Landvetter, Sweden)
(0.00041787954943562006 : Kirkwall, United Kingdom)
(0.00041774879481015195 : Hercilio Luz, Brazil)
(0.00041774025632036646 : Belfast Intl, United Kingdom)
(0.0004174334406668062 : V C Bird Intl, Antigua and Barbuda)
(0.0004169942866155101 : Harare Intl, Zimbabwe)
(0.00041698111861274064 : Ugnu-Kuparuk Airport, United States)
(0.0004160051024218493 : Manas, Kyrgyzstan)
(0.000415656248084581 : Zvartnots, Armenia)
